Question,Option_1,Option_2,Option_3,Option_4,Answer,Correct_Answer_Index
What did Yaakov (Jacob) give Eisav (Esau) in exchange for his birthright?,Roast sheep and salt,Lamb stew,Bread and lentil soup,Porridge,Bread and lentil soup,3
From what age could a male's monetary value be given as a gift to God?,One month,13 years old,20 years old,1 year,One month,1
How much of their anointment day Mincha (meal-offering) did Aharon (Aaron) and his sons eat?,As much as they wanted,All of it,None of it,Half of it,None of it,3
How did God describe the covenant that he gave to Pinchas (Phinehas)?,As a covenant of hope,As a covenant of peace,As a covenant of reward,As a covenant of love,As a covenant of peace,2
Who killed the refugee who informed David of Shaul's (Saul's) death?,One of David's attendants,David,David's brother Eliav (Eliab),One of David's men,One of David's attendants,1
How old was Yaakov (Jacob) when he died in Mitzrayim (Egypt)?,175,127,180,147,147,4
What was the effect on the rest of the people after a false witness was punished?,They were afraid to testify in case they would even accidentally give false testimony,They ostracized the false witness's family,The hated the false witness,They were deterred from being false witnesses,They were deterred from being false witnesses,4
"When were the chatzotzrot (trumpets) sounded besides for assembling the people or leaders, or jouryneying or wartime?",On the anniversaries of Matan Torah (the Giving of the Torah),"On days of gladness, festivals and new moons",On the anniversaries of war victories,At weddings,"On days of gladness, festivals and new moons",2
What did Eliyahu (Elijah) do to his offering on Har HaCarmel (Mt. Carmel) to magnify the miracle?,He allowed his bull to run free so the fire would have to consume a moving target,"He had the people pour 4 jugs of water on the wood three times, so a fire would be less likely to consume it",He walked away from the offering so he wouldn't be accused of causing a fire to consume it naturally,He told the people to pray to the Baal to consume the offering of its false neviim (prophets) with fire,"He had the people pour 4 jugs of water on the wood three times, so a fire would be less likely to consume it",2
How many more cities of refuge were to be created after the borders of the land would be broadened?,6 more cities of refuge,1 more city of refuge,3 more cities of refuge,2 more cities of refuge,3 more cities of refuge,3
What did Yaakov (Jacob) name his youngest son?,Binyamin {Benjamin),Yosef (Joseph),Asher,Ben Oni,Binyamin {Benjamin),1
What other pieces of copper did Golyat (Goliath) wear besides a helmet?,Sleeves on his arm and a face mask,"Decorative bracelets made of bullets, and sunglasses frames",Gloves on his hands and foot guards,A shield on his legs and a neck-guard between his shoulders,A shield on his legs and a neck-guard between his shoulders,4
Why did Moshe (Moses) think that they should have killed the women?,"Because Moshe wanted them to kill everyone, including the women",Because the women had previously instigated Bnei Yisrael (the Children of Israel) to worship Baal Peor,Because Moshe was worried that the women would fight against them,So that the women would not be able to perpetuate the Midianite race,Because the women had previously instigated Bnei Yisrael (the Children of Israel) to worship Baal Peor,2
Who was the leader of the families of Merari?,Tzuriel (Zuriel) the son of Avichayil (Abihail),Itamar (Ithamar) the son of Aharon (Aaron),Elyasaf (Eliasaph) the son of La'el,Elitzafan (Elizaphan) the son of Uziel,Tzuriel (Zuriel) the son of Avichayil (Abihail),1
What did the magicians try to do after the lice infested the men and beasts?,They tried to remove them from the beasts,They tried to remove them from the men and kill the beasts,They tried to remove them from the people,They tried to remove them from the men and beasts,They tried to remove them from the men and beasts,4
In how many ways would the Jews flee from their enemies if the Jews wouldn't keep God's commandments?,In 2 ways,In 7 ways,In 6 ways,1n 5 ways,In 7 ways,2
Who lived 969 years?,Yehoshafat,Noach (Noah),Adam,Mesushelach (Methuselah),Mesushelach (Methuselah),4
Between what ages was a female's monetary value 10 silver shekels?,Between ages 20 and 60,Between ages one month and 5,Over age 60,Between ages 5 and 20,Between ages 5 and 20,4
"Where was Ephron when Avraham (Abraham) approached him to buy a burial plot for his wife, Sarah?",At the gates of the city,In the midst of the Bnei Chet (children of Heth),In the field,Outside his tent,In the midst of the Bnei Chet (children of Heth),2
From where did God send Bnei Yisrael (the Children of Israel) to possess the land?,From Kadesh Barnea,From Rephidim,From Succot,From Massah,From Kadesh Barnea,1
What happened to the navi (prophet) Achiya (Ahijah) in his old age?,"He couldn't see, hear or walk",He couldn't walk,He couldn't hear,He couldn't see,He couldn't see,4
How did the Mitzrim (Egyptians) pay for food during the famine after they had no cattle left to sell?,"They bought food with money, gold and silver",They could not pay so they starved,They sold the cattle that belonged to the brothers of Yosef (Joseph) in exchange for food,They sold off their land in exchange for food,They sold off their land in exchange for food,4
Why did the army of Aram desert its camp?,An earthquake struck,"The soldiers heard the sound of chariots, horses and a great army (caused by Hashem (G-d)), and they fled",They ran out of food,"Their horses fled, so the soldiers ran after them","The soldiers heard the sound of chariots, horses and a great army (caused by Hashem (G-d)), and they fled",2
What plague did God send after the lice?,Darkness,A swarm of wild beasts,Frogs,The slaying of the firstborn,A swarm of wild beasts,2
What did the brothers' bundles of grain do in Yosef's (Joseph's) dream?,They knocked over Yosef's bundle of grain,They ran away from Yosef's bundle of grain,They bowed down to Yosef's bundle of grain,They destroyed Yosef's bundle of grain,They bowed down to Yosef's bundle of grain,3
How did David's 600 men divide themselves in two groups after Naval refused to give them food?,500 men went with David to fight Naval; and 100 stayed in Midbar Paran to watch their baggage,300 men went with David to fight Naval; and 300 stayed in Midbar (Desert of) Paran to watch their baggage,400 men went with David to fight Naval; and 200 stayed in Midbar (Desert of) Paran to watch their baggage,200 men went with David to fight Naval; and 400 stayed in Midbar (Desert of) Paran to watch their baggage,400 men went with David to fight Naval; and 200 stayed in Midbar (Desert of) Paran to watch their baggage,3
Where was Yitzchak (Isaac) when he first saw Rivka (Rebecca)?,In the field,In his mother's tent,Sitting outside the tent waiting for her,In his tent,In the field,1
In which Canaanite city did Yaakov (Jacob) buy land?,Gerar,Shechem (Nablus),Be'er Sheva (Beersheba),Chevron (Hebron),Shechem (Nablus),2
