Chapter,Kind,Question,Answer
Genesis 12:4?,Normal trivia,How old was Abraham when he left Haran,Seventy-five years old
Genesis 12:4?,Normal trivia,Who did Abraham join when he went to Canaan,"Sarai, his wife"
Genesis 12:7?,Normal trivia,The first altar built by Abraham b,In Shechem
Genesis 12:10?,Normal trivia,The reason Abraham went down to Egypt was,The heavy famine that was in Israel
Genesis 12:12?,Normal trivia,Why did Abraham ask for Sarah as his sisters his sister when he approached Egypt,Abraham was afraid that the Egyptians would take Sarah and kill him
Genesis 12:16?,Normal trivia,Pharaoh was kind to Abraham and gave him,Sheep and cattle and donkeys and menservants and maidservants? ?And goats and camels
Genesis 12:17?,Normal trivia,The punishment because Sarah was taken to Pharaoh's house was,Great plagues to Pharaoh and his house
Genesis 12:19?,Normal trivia,Pharaoh's reaction after he learned that Sarah was Abraham's wife was,Pharaoh tells Abraham to leave Egypt? ?And commands his men to send
Genesis 13:3?,Normal trivia,When Abraham returned from Egypt he decided to,To sit in the place where he sat for the first time? When he entered Israel
Genesis 13:7?,Normal trivia,The reason Abraham suggests to Lot that they separate a man above his brother was,The quarrel between Abraham's shepherds and Lot's shepherds
Genesis 13:9?,Normal trivia,Were the boundaries between Abraham's settlement area and Lot's determined like this,Abraham allows Lot to choose first? ?the area of his settlement
Genesis 13:12?,Normal trivia,The settlement areas were,Abraham lived in the land of Canaan and Lot lived in the cities? ?the square
Genesis 13:16?,Normal trivia,"After Lot separated from Abraham, God said to Abraham, ""And I put your seed as?""",As the dust of the earth
Genesis 13:18?,Normal trivia,"After Abraham separated from Lot, he determined his place of residence in",Hebron
"?Genesis Yad', 3?",Normal trivia,The war between the four kings and the five kings of the square was held in,Valley of the Devils
"?Genesis Yad', 4?",Normal trivia,The reason for this war was,The five kings rebelled in KaderlaOmer
Genesis 13:13?,Normal trivia,Aner Eshkol and Mamra were,Abraham's allies
"Genesis 14, 14?",Normal trivia,The reason for the persecution of the five kings was Abraham and his people after the four kings,"Lot, son of my brother Abraham, was taken captive"
"?Genesis Yad', 15?",Normal trivia,Abraham chased after the four kings as far as the left of Damascus,Required
Genesis 17:17?,Normal trivia,"After Abraham returned from beating the four kings, King Shalom and the King of Sodom meet with him in",Emek Shua
"Genesis 18, 18?",Normal trivia,The name of a whole king was,Kings of Righteousness
Genesis 15:5?,Normal trivia,And believed in it and considered it righteous. This verse was said about,The promise of the seed
Genesis 15:9?,Normal trivia,"Is the list of animals in parentheses related to the cart Azail, Tor and Gozel",The Covenant
Genesis 15:12?,Normal trivia,"Sleep, terror and great darkness fell upon",Abraham
"Genesis 15, 13?",Normal trivia,"When were the following verses spoken to Abraham Avinidoa, you will know that your seed will be a sojourner in a land not theirs",In an alliance between the Bitar
Genesis 16:3?,Normal trivia,After how many years Abraham was in Canaan did he take Hagar as his wife,After ten years
Genesis 16:14?,Normal trivia,Beer Lahi Roy was named after,The place where God's angel was seen to migrate
Genesis 17:24?,Normal trivia,Abraham cut the flesh of his foreskin when he was a boy,Ninety-nine years
Genesis 17:12?,Normal trivia,Does the mitzvah of circumcision apply to Abraham's seed when they are sons,Eight days
Genesis 17:20?,Normal trivia,About whom are twelve presidents said to be born,On Ishmael
"Genesis 18, 5-8?",Normal trivia,"The foods listed in parentheses were served by Abraham a loaf of bread, cakes, beef, butter and milk",The angels who visited him and told him? ?And sang about the birth of Isaac
"Genesis 18, 24-32?",Normal trivia,"The numbers fifty, forty and five, forty, thirty, twenty, ten indicate the",Abraham's attempts to teach righteousness to the people of Sodom and Gomorrah
Genesis 19:3?,Normal trivia,The man who made a feast and baked unleavened bread for his guests was,"Sarai, his wife"
Genesis 19:13?,Normal trivia,Why did you shout loudly in the face of this verse,Sins of Sodom and Gomorrah
Genesis 19:24?,Normal trivia,The rain on Sodom and Gomorrah,Brimstone and fire
Genesis 19:25?,Normal trivia,Sodom and Gomorrah were turned upside down,"The cities, the whole square, all the inhabitants of the cities? ?And the plant of the earth."
Genesis 19:28?,Normal trivia,"And behold, the steam of the earth rose up like the steam of the furnace, it was said in connection with",The Upheaval of Sodom and Omrah
Genesis 19:26?,Normal trivia,Salt commissioner said in connection with,The wife of Lot
Genesis 19:29?,Normal trivia,Is the verse And God will remember you mentioned in the context of the following personalities,Abraham
Genesis 19:30?,Normal trivia,The people who sat in the cave were,Lot and his two daughters
"Genesis 9, 21? Genesis 19, 33-36?",Normal trivia,The people who drank wine for hire are,Noah and Lot
Genesis 20:7?,Normal trivia,The verse that a prophet is said about,Abraham
Genesis 20:9?,Normal trivia,The verse that you brought upon me and my kingdom a great sin was said in connection with,Taking Sarah to the house of Abimelech.
Genesis 21:2?,Normal trivia,For the time that the same word of God was said in connection with,Birth of Isaac
Genesis 21:4?,Normal trivia,Abraham cursed his son Isaac when he was a boy,Eight days
Genesis 21:8?,Normal trivia,Abraham made a big feast in,The day he weaned Isaac
Genesis 21:5?,Normal trivia,When Isaac was born was Abraham's son,One hundred years
Genesis 21:14?,Normal trivia,Bread and hot water are related to,The side that Abraham gave to Hagar.
Genesis 21:16?,Normal trivia,The phrase far as a bow is said in the context of,Distance from the place where Hagar sat until? ?to the place where Ishmael lay.
Genesis 21:25?,Normal trivia,Abraham proved Abimelech about,The water well that the servants of Abimelech robbed.
Genesis 21:30?,Normal trivia,Abraham asked Abimelech to take from him,Seven sheep
Genesis 21:33?,Normal trivia,Abraham planted in Be'er Sheva,Tamarisk
Genesis 21:22?,Normal trivia,Pichel was the name of,Minister of the army of the King of Philistines
Genesis 21:33?,Normal trivia,The verse And there will be called in the name of the God of the world is said in connection with,Hashel in Be'er Sheva
"Genesis 22, 1?",Normal trivia,"What trial does the scripture refer to in the verse ""And God tested Abraham""",Binding of Isaac
"Genesis 22, 2?",Normal trivia,This attempt happened in,The land of Moriah
"Genesis 22, 2?",Normal trivia,Yitzchak was raised to a superior,One of the mountains
"Genesis 22, 3?",Normal trivia,In the Yitzhak Abraham sect,"Brings his donkey, takes with him his two? ?boys and Yitzchak his son."
"Genesis 22, 6?",Normal trivia,Abraham splits Ole trees and puts them,On his son Yitzchak and in his hand he takes the fire? ?And the one that consumes only when he approaches
"Genesis 22, 4?",Normal trivia,Abraham saw the place from afar when,On the third day
"Genesis 22, 5?",Normal trivia,Does Abraham take him to the Akada place,Only your son Isaac.
"Genesis 22, 9?",Normal trivia,In the Yitzhak sect,"Abraham built the altar, arranged the trees, tied Isaac and put him on the altar above the trees"
"Genesis 22, 10-11?",Normal trivia,"The angel of God called to Abraham from heaven, do not put your hand on the boy and do not do anything to him. When",As soon as Abraham took the food? ?Slaughter his son.
"Genesis 22, 13?",Normal trivia,Abraham raised to an immigrant instead of Yitzchak,RAM
"Genesis 22, 14?",Normal trivia,Did Abraham read the name of that place,God will see
"Genesis 22, 15?",Normal trivia,How many times did the angel call to Abraham,Twice
"Genesis 22, 12?",Normal trivia,God's angel told Abraham that he,Fear God
"?Genesis 22, 20?",Normal trivia,"After Yitzhak's contract, Abraham learned that","Malka, his brother Nahor's wife also bore? ?sons."
Genesis 23:1?,Normal trivia,How many years of Sarah's life,One hundred and twenty-seven years
Genesis 23:2?,Normal trivia,Sarah died in,Kiryat Arba
Genesis 23:2?,Normal trivia,The name Kiryat Arba is synonymous with,Hebron
Genesis 23:4?,Normal trivia,Abraham said about himself that he was,Lives and is a resident
Genesis 23:6?,Normal trivia,Bnei Het call Abraham by a nickname,President of God
Genesis 23:19?,Normal trivia,Sarah was buried in,Cave of the Patriarchs
Genesis 23:16?,Normal trivia,Abraham whole for the field and the cave in it,Four hundred silver shekels
Genesis 24:3?,Normal trivia,You shall not take a wife for my son from among the daughters of the Canaanite among whom I am sitting. Who said to whom,Abraham to Eliezer
Genesis 24:4?,Normal trivia,"Because you will go to my country and my homeland and take a wife, who said to whom",Abraham to Eliezer Abdo
"Genesis 24, 38?",Normal trivia,"If not to my father's house, go to my family and take a wife. Who said to whom Eliezer Abed A",Eliezer Abd Abraham in the name of Abraham? ?To the Rebecca family.
Genesis 24:9?,Normal trivia,Eliezer Abd Abraham did the following action when he swore to fulfill his will,He put his hand under Abraham's thigh
Genesis 24:10?,Normal trivia,How many camels did Eliezer take on his way to Aram Naharim,Ten camels
Genesis 24:11?,Normal trivia,When did Eliezer arrive in the city of Nahor,For the evening
Genesis 24:14?,Normal trivia,"In Eliezer's prayer, he chooses the next sign for a suitable girl for Isaac",The girl he will ask her to drink and she will give it to him
Genesis 24:15?,Normal trivia,Did Rebecca go out to draw water,Before he finished his prayer.
Genesis 24:15?,Normal trivia,Rebecca went out to pump when she fell on,She wakes up
Genesis 24:16?,Normal trivia,Rebecca was said to be,Very good looking
Genesis 24:17?,Normal trivia,Did Eliezer ask Rebecca for water with these words,Hagamiani please a little water from your cup.
Genesis 24:21?,Normal trivia,After Eliezer saw that the sign he asked for in his prayer came true,He would still wonder if God succeeded through him? ?Or not.
Genesis 24:22?,Normal trivia,Eliezer gave Rebecca a gold bracelet and two bracelets on her hands,Before he asked her whose daughter she was.
"Genesis 24, 28?",Normal trivia,Rebecca ran and told about Eliezer to,Her mother's house
Genesis 24:33?,Normal trivia,Did Eliezer tell Rebecca's parents about his mission,Before he ate
"Genesis 24, 53?",Normal trivia,After Rebecca's parents agreed to give her to Isaac as a wife,Eliezer gave silverware and goldware and clothes to Rebekah and Magdanot to her brother and mother
"Genesis 24, 57-58?",Normal trivia,Before Rebecca's parents gave their final consent to Eliezer's request,They called Rebecca and asked her if she agreed to go with Eliezer
"Genesis 24, 63?",Normal trivia,Did Isaac see the camels coming,At dusk
"Genesis 24, 64?",Normal trivia,When did Rebecca see Isaac,Fell off the camel
"Genesis 20, 1?",Normal trivia,After Sarah's death,Married another woman and her name is Ketura.
Genesis 20:6?,Normal trivia,To the children of the concubines what to Abraham,Abraham gave gifts
Genesis 20:7?,Normal trivia,How many years of Abraham's life were,"One hundred, seventy-five years"
Genesis 20:9?,Normal trivia,Was Abraham buried in the Cave of the Patriarchs,Isaac and Ishmael his sons
Genesis 11:11?,Normal trivia,"After Abraham's death, Yitzchak b",Beer Lahi Roi
Genesis 25:17?,Normal trivia,The number of years of Ishmael's life,One hundred and thirty-seven years
Genesis 25:17?,Normal trivia,Is it said about Ishmael,And he was afflicted and died and gathered to his people
?Bereshith 25 19?,Normal trivia,Isaac married Rebekah when he was a boy,Forty years
Genesis 25:1?,Normal trivia,The reason for Isaac's prayer for Rebekah is,Rebecca was barren
Genesis 25:22?,Normal trivia,What did Rebecca do when the boys were running around her,She went to demand God
Genesis 25:23?,Normal trivia,Is the correct verse,Two Gentiles in your belly and two nationalities from your bowels? ?They will separate
Genesis 25:24?,Normal trivia,The missing word in the verse and her days will be filled to give birth and the nahabbatana is,Tommy
Genesis 25:29?,Normal trivia,This red red is meant according to the scriptures to,Stew
Genesis 25:11?,Normal trivia,Jacob asks Esau what,Sell him your firstborn
Genesis 25:32?,Normal trivia,Esau tells Jacob,Here I am going to die and why is it my first
Genesis 25:33?,Normal trivia,"A sign of agreement on the transfer of the birthright to Yaakov, does Yaakov demand his deed",Swear to him
