Book,Chapter,Text
Psalms,1,אשׁרי האישׁ אשׁר לא הלך בעצת רשׁעים ובדרך חטאים לא עמד ובמושׁב לצים לא ישׁב׃ כי אם בתורת יהוה חפצו ובתורתו יהגה יומם ולילה׃ והיה כעץ שׁתול על פלגי מים אשׁר פריו יתן בעתו ועלהו לא יבול וכל אשׁר יעשׂה יצליח׃ לא כן הרשׁעים כי אם כמץ אשׁר תדפנו רוח׃ על כן לא יקמו רשׁעים במשׁפט וחטאים בעדת צדיקים׃ כי יודע יהוה דרך צדיקים ודרך רשׁעים תאבד׃
Psalms,2,למה רגשׁו גוים ולאמים יהגו ריק׃ יתיצבו מלכי ארץ ורוזנים נוסדו יחד על יהוה ועל משׁיחו׃ ננתקה את מוסרותימו ונשׁליכה ממנו עבתימו׃ יושׁב בשׁמים ישׂחק אדני ילעג למו׃ אז ידבר אלימו באפו ובחרונו יבהלמו׃ ואני נסכתי מלכי על ציון הר קדשׁי׃ אספרה אל חק יהוה אמר אלי בני אתה אני היום ילדתיך׃ שׁאל ממני ואתנה גוים נחלתך ואחזתך אפסי ארץ׃ תרעם בשׁבט ברזל ככלי יוצר תנפצם׃ ועתה מלכים השׂכילו הוסרו שׁפטי ארץ׃ עבדו את יהוה ביראה וגילו ברעדה׃ נשׁקו בר פן יאנף ותאבדו דרך כי יבער כמעט אפו אשׁרי כל חוסי בו׃
Psalms,3,מזמור לדוד בברחו מפני אבשׁלום בנו׃ יהוה מה רבו צרי רבים קמים עלי׃ רבים אמרים לנפשׁי אין ישׁועתה לו באלהים סלה׃ ואתה יהוה מגן בעדי כבודי ומרים ראשׁי׃ קולי אל יהוה אקרא ויענני מהר קדשׁו סלה׃ אני שׁכבתי ואישׁנה הקיצותי כי יהוה יסמכני׃ לא אירא מרבבות עם אשׁר סביב שׁתו עלי׃ קומה יהוה הושׁיעני אלהי כי הכית את כל איבי לחי שׁני רשׁעים שׁברת׃ ליהוה הישׁועה על עמך ברכתך סלה׃
Psalms,4,למנצח בנגינות מזמור לדוד׃ בקראי ענני אלהי צדקי בצר הרחבת לי חנני ושׁמע תפלתי׃ בני אישׁ עד מה כבודי לכלמה תאהבון ריק תבקשׁו כזב סלה׃ ודעו כי הפלה יהוה חסיד לו יהוה ישׁמע בקראי אליו׃ רגזו ואל תחטאו אמרו בלבבכם על משׁכבכם ודמו סלה׃ זבחו זבחי צדק ובטחו אל יהוה׃ רבים אמרים מי יראנו טוב נסה עלינו אור פניך יהוה׃ נתתה שׂמחה בלבי מעת דגנם ותירושׁם רבו׃ בשׁלום יחדו אשׁכבה ואישׁן כי אתה יהוה לבדד לבטח תושׁיבני׃
Psalms,5,למנצח אל הנחילות מזמור לדוד׃ אמרי האזינה יהוה בינה הגיגי׃ הקשׁיבה לקול שׁועי מלכי ואלהי כי אליך אתפלל׃ יהוה בקר תשׁמע קולי בקר אערך לך ואצפה׃ כי לא אל חפץ רשׁע אתה לא יגרך רע׃ לא יתיצבו הוללים לנגד עיניך שׂנאת כל פעלי און׃ תאבד דברי כזב אישׁ דמים ומרמה יתעב יהוה׃ ואני ברב חסדך אבוא ביתך אשׁתחוה אל היכל קדשׁך ביראתך׃ יהוה נחני בצדקתך למען שׁוררי(הושר)[הישׁר]לפני דרכך׃ כי אין בפיהו נכונה קרבם הוות קבר פתוח גרנם לשׁונם יחליקון׃ האשׁימם אלהים יפלו ממעצותיהם ברב פשׁעיהם הדיחמו כי מרו בך׃ וישׂמחו כל חוסי בך לעולם ירננו ותסך עלימו ויעלצו בך אהבי שׁמך׃ כי אתה תברך צדיק יהוה כצנה רצון תעטרנו׃
Psalms,6,למנצח בנגינות על השׁמינית מזמור לדוד׃ יהוה אל באפך תוכיחני ואל בחמתך תיסרני׃ חנני יהוה כי אמלל אני רפאני יהוה כי נבהלו עצמי׃ ונפשׁי נבהלה מאד(ואת)[ואתה]יהוה עד מתי׃ שׁובה יהוה חלצה נפשׁי הושׁיעני למען חסדך׃ כי אין במות זכרך בשׁאול מי יודה לך׃ יגעתי באנחתי אשׂחה בכל לילה מטתי בדמעתי ערשׂי אמסה׃ עשׁשׁה מכעס עיני עתקה בכל צוררי׃ סורו ממני כל פעלי און כי שׁמע יהוה קול בכיי׃ שׁמע יהוה תחנתי יהוה תפלתי יקח׃ יבשׁו ויבהלו מאד כל איבי ישׁבו יבשׁו רגע׃
Psalms,7,שׁגיון לדוד אשׁר שׁר ליהוה על דברי כושׁ בן ימיני׃ יהוה אלהי בך חסיתי הושׁיעני מכל רדפי והצילני׃ פן יטרף כאריה נפשׁי פרק ואין מציל׃ יהוה אלהי אם עשׂיתי זאת אם ישׁ עול בכפי׃ אם גמלתי שׁולמי רע ואחלצה צוררי ריקם׃ ירדף אויב נפשׁי וישׂג וירמס לארץ חיי וכבודי לעפר ישׁכן סלה׃ קומה יהוה באפך הנשׂא בעברות צוררי ועורה אלי משׁפט צוית׃ ועדת לאמים תסובבך ועליה למרום שׁובה׃ יהוה ידין עמים שׁפטני יהוה כצדקי וכתמי עלי׃ יגמר נא רע רשׁעים ותכונן צדיק ובחן לבות וכליות אלהים צדיק׃ מגני על אלהים מושׁיע ישׁרי לב׃ אלהים שׁופט צדיק ואל זעם בכל יום׃ אם לא ישׁוב חרבו ילטושׁ קשׁתו דרך ויכוננה׃ ולו הכין כלי מות חציו לדלקים יפעל׃ הנה יחבל און והרה עמל וילד שׁקר׃ בור כרה ויחפרהו ויפל בשׁחת יפעל׃ ישׁוב עמלו בראשׁו ועל קדקדו חמסו ירד׃ אודה יהוה כצדקו ואזמרה שׁם יהוה עליון׃
Psalms,8,למנצח על הגתית מזמור לדוד׃ יהוה אדנינו מה אדיר שׁמך בכל הארץ אשׁר תנה הודך על השׁמים׃ מפי עוללים וינקים יסדת עז למען צורריך להשׁבית אויב ומתנקם׃ כי אראה שׁמיך מעשׂה אצבעתיך ירח וכוכבים אשׁר כוננתה׃ מה אנושׁ כי תזכרנו ובן אדם כי תפקדנו׃ ותחסרהו מעט מאלהים וכבוד והדר תעטרהו׃ תמשׁילהו במעשׂי ידיך כל שׁתה תחת רגליו׃ צנה ואלפים כלם וגם בהמות שׂדי׃ צפור שׁמים ודגי הים עבר ארחות ימים׃ יהוה אדנינו מה אדיר שׁמך בכל הארץ׃
Psalms,9,למנצח על מות לבן מזמור לדוד׃ אודה יהוה בכל לבי אספרה כל נפלאותיך׃ אשׂמחה ואעלצה בך אזמרה שׁמך עליון׃ בשׁוב אויבי אחור יכשׁלו ויאבדו מפניך׃ כי עשׂית משׁפטי ודיני ישׁבת לכסא שׁופט צדק׃ גערת גוים אבדת רשׁע שׁמם מחית לעולם ועד׃ האויב תמו חרבות לנצח וערים נתשׁת אבד זכרם המה׃ ויהוה לעולם ישׁב כונן למשׁפט כסאו׃ והוא ישׁפט תבל בצדק ידין לאמים במישׁרים׃ ויהי יהוה משׂגב לדך משׂגב לעתות בצרה׃ ויבטחו בך יודעי שׁמך כי לא עזבת דרשׁיך יהוה׃ זמרו ליהוה ישׁב ציון הגידו בעמים עלילותיו׃ כי דרשׁ דמים אותם זכר לא שׁכח צעקת(עניים)[ענוים]׃ חננני יהוה ראה עניי משׂנאי מרוממי משׁערי מות׃ למען אספרה כל תהלתיך בשׁערי בת ציון אגילה בישׁועתך׃ טבעו גוים בשׁחת עשׂו ברשׁת זו טמנו נלכדה רגלם׃ נודע יהוה משׁפט עשׂה בפעל כפיו נוקשׁ רשׁע הגיון סלה׃ ישׁובו רשׁעים לשׁאולה כל גוים שׁכחי אלהים׃ כי לא לנצח ישׁכח אביון תקות(ענוים)[עניים]תאבד לעד׃ קומה יהוה אל יעז אנושׁ ישׁפטו גוים על פניך׃ שׁיתה יהוה מורה להם ידעו גוים אנושׁ המה סלה׃
Psalms,10,למה יהוה תעמד ברחוק תעלים לעתות בצרה׃ בגאות רשׁע ידלק עני יתפשׂו במזמות זו חשׁבו׃ כי הלל רשׁע על תאות נפשׁו ובצע ברך נאץ יהוה׃ רשׁע כגבה אפו בל ידרשׁ אין אלהים כל מזמותיו׃ יחילודרכו בכל עת מרום משׁפטיך מנגדו כל צורריו יפיח בהם׃ אמר בלבו בל אמוט לדר ודר אשׁר לא ברע׃ אלה פיהו מלא ומרמות ותך תחת לשׁונו עמל ואון׃ ישׁב במארב חצרים במסתרים יהרג נקי עיניו לחלכה יצפנו׃ יארב במסתר כאריה בסכה יארב לחטוף עני יחטף עני במשׁכו ברשׁתו׃ (ודכה)[ידכה]ישׁח ונפל בעצומיו(חלכאים)[חל כאים]׃ אמר בלבו שׁכח אל הסתיר פניו בל ראה לנצח׃ קומה יהוה אל נשׂא ידך אל תשׁכח(עניים)[ענוים]׃ על מה נאץ רשׁע אלהים אמר בלבו לא תדרשׁ׃ ראתה כי אתה עמל וכעס תביט לתת בידך עליך יעזב חלכה יתום אתה היית עוזר׃ שׁבר זרוע רשׁע ורע תדרושׁ רשׁעו בל תמצא׃ יהוה מלך עולם ועד אבדו גוים מארצו׃ תאות ענוים שׁמעת יהוה תכין לבם תקשׁיב אזנך׃ לשׁפט יתום ודך בל יוסיף עוד לערץ אנושׁ מן הארץ׃
