Book,Chapter,Text
Genesis,1,בראשׁית ברא אלהים את השׁמים ואת הארץ׃ והארץ היתה תהו ובהו וחשׁך על פני תהום ורוח אלהים מרחפת על פני המים׃ ויאמר אלהים יהי אור ויהי אור׃ וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשׁך׃ ויקרא אלהים לאור יום ולחשׁך קרא לילה ויהי ערב ויהי בקר יום אחד׃ ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים׃ ויעשׂ אלהים את הרקיע ויבדל בין המים אשׁר מתחת לרקיע ובין המים אשׁר מעל לרקיע ויהי כן׃ ויקרא אלהים לרקיע שׁמים ויהי ערב ויהי בקר יום שׁני׃ ויאמר אלהים יקוו המים מתחת השׁמים אל מקום אחד ותראה היבשׁה ויהי כן׃ ויקרא אלהים ליבשׁה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב׃ ויאמר אלהים תדשׁא הארץ דשׁא עשׂב מזריע זרע עץ פרי עשׂה פרי למינו אשׁר זרעו בו על הארץ ויהי כן׃ ותוצא הארץ דשׁא עשׂב מזריע זרע למינהו ועץ עשׂה פרי אשׁר זרעו בו למינהו וירא אלהים כי טוב׃ ויהי ערב ויהי בקר יום שׁלישׁי׃ ויאמר אלהים יהי מארת ברקיע השׁמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושׁנים׃ והיו למאורת ברקיע השׁמים להאיר על הארץ ויהי כן׃ ויעשׂ אלהים את שׁני המארת הגדלים את המאור הגדל לממשׁלת היום ואת המאור הקטן לממשׁלת הלילה ואת הכוכבים׃ ויתן אתם אלהים ברקיע השׁמים להאיר על הארץ׃ ולמשׁל ביום ובלילה ולהבדיל בין האור ובין החשׁך וירא אלהים כי טוב׃ ויהי ערב ויהי בקר יום רביעי׃ ויאמר אלהים ישׁרצו המים שׁרץ נפשׁ חיה ועוף יעופף על הארץ על פני רקיע השׁמים׃ ויברא אלהים את התנינם הגדלים ואת כל נפשׁ החיה הרמשׂת אשׁר שׁרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב׃ ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ׃ ויהי ערב ויהי בקר יום חמישׁי׃ ויאמר אלהים תוצא הארץ נפשׁ חיה למינה בהמה ורמשׂ וחיתו ארץ למינה ויהי כן׃ ויעשׂ אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמשׂ האדמה למינהו וירא אלהים כי טוב׃ ויאמר אלהים נעשׂה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השׁמים ובבהמה ובכל הארץ ובכל הרמשׂ הרמשׂ על הארץ׃ ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם׃ ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשׁה ורדו בדגת הים ובעוף השׁמים ובכל חיה הרמשׂת על הארץ׃ ויאמר אלהים הנה נתתי לכם את כל עשׂב זרע זרע אשׁר על פני כל הארץ ואת כל העץ אשׁר בו פרי עץ זרע זרע לכם יהיה לאכלה׃ ולכל חית הארץ ולכל עוף השׁמים ולכל רומשׂ על הארץ אשׁר בו נפשׁ חיה את כל ירק עשׂב לאכלה ויהי כן׃ וירא אלהים את כל אשׁר עשׂה והנה טוב מאד ויהי ערב ויהי בקר יום השׁשׁי׃
Genesis,2,ויכלו השׁמים והארץ וכל צבאם׃ ויכל אלהים ביום השׁביעי מלאכתו אשׁר עשׂה וישׁבת ביום השׁביעי מכל מלאכתו אשׁר עשׂה׃ ויברך אלהים את יום השׁביעי ויקדשׁ אתו כי בו שׁבת מכל מלאכתו אשׁר ברא אלהים לעשׂות׃ אלה תולדות השׁמים והארץ בהבראם ביום עשׂות יהוה אלהים ארץ ושׁמים׃ וכל שׂיח השׂדה טרם יהיה בארץ וכל עשׂב השׂדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה׃ ואד יעלה מן הארץ והשׁקה את כל פני האדמה׃ וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשׁמת חיים ויהי האדם לנפשׁ חיה׃ ויטע יהוה אלהים גן בעדן מקדם וישׂם שׁם את האדם אשׁר יצר׃ ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע׃ ונהר יצא מעדן להשׁקות את הגן ומשׁם יפרד והיה לארבעה ראשׁים׃ שׁם האחד פישׁון הוא הסבב את כל ארץ החוילה אשׁר שׁם הזהב׃ וזהב הארץ ההוא טוב שׁם הבדלח ואבן השׁהם׃ ושׁם הנהר השׁני גיחון הוא הסובב את כל ארץ כושׁ׃ ושׁם הנהר השׁלישׁי חדקל הוא ההלך קדמת אשׁור והנהר הרביעי הוא פרת׃ ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשׁמרה׃ ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל׃ ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות׃ ויאמר יהוה אלהים לא טוב היות האדם לבדו אעשׂה לו עזר כנגדו׃ ויצר יהוה אלהים מן האדמה כל חית השׂדה ואת כל עוף השׁמים ויבא אל האדם לראות מה יקרא לו וכל אשׁר יקרא לו האדם נפשׁ חיה הוא שׁמו׃ ויקרא האדם שׁמות לכל הבהמה ולעוף השׁמים ולכל חית השׂדה ולאדם לא מצא עזר כנגדו׃ ויפל יהוה אלהים תרדמה על האדם ויישׁן ויקח אחת מצלעתיו ויסגר בשׂר תחתנה׃ ויבן יהוה אלהים את הצלע אשׁר לקח מן האדם לאשׁה ויבאה אל האדם׃ ויאמר האדם זאת הפעם עצם מעצמי ובשׂר מבשׂרי לזאת יקרא אשׁה כי מאישׁ לקחה זאת׃ על כן יעזב אישׁ את אביו ואת אמו ודבק באשׁתו והיו לבשׂר אחד׃ ויהיו שׁניהם ערומים האדם ואשׁתו ולא יתבשׁשׁו׃
Genesis,3,והנחשׁ היה ערום מכל חית השׂדה אשׁר עשׂה יהוה אלהים ויאמר אל האשׁה אף כי אמר אלהים לא תאכלו מכל עץ הגן׃ ותאמר האשׁה אל הנחשׁ מפרי עץ הגן נאכל׃ ומפרי העץ אשׁר בתוך הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמתון׃ ויאמר הנחשׁ אל האשׁה לא מות תמתון׃ כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע׃ ותרא האשׁה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשׂכיל ותקח מפריו ותאכל ותתן גם לאישׁה עמה ויאכל׃ ותפקחנה עיני שׁניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשׂו להם חגרת׃ וישׁמעו את קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשׁתו מפני יהוה אלהים בתוך עץ הגן׃ ויקרא יהוה אלהים אל האדם ויאמר לו איכה׃ ויאמר את קלך שׁמעתי בגן ואירא כי עירם אנכי ואחבא׃ ויאמר מי הגיד לך כי עירם אתה המן העץ אשׁר צויתיך לבלתי אכל ממנו אכלת׃ ויאמר האדם האשׁה אשׁר נתתה עמדי הוא נתנה לי מן העץ ואכל׃ ויאמר יהוה אלהים לאשׁה מה זאת עשׂית ותאמר האשׁה הנחשׁ השׁיאני ואכל׃ ויאמר יהוה אלהים אל הנחשׁ כי עשׂית זאת ארור אתה מכל הבהמה ומכל חית השׂדה על גחנך תלך ועפר תאכל כל ימי חייך׃ ואיבה אשׁית בינך ובין האשׁה ובין זרעך ובין זרעה הוא ישׁופך ראשׁ ואתה תשׁופנו עקב׃ אל האשׁה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל אישׁך תשׁוקתך והוא ימשׁל בך׃ ולאדם אמר כי שׁמעת לקול אשׁתך ותאכל מן העץ אשׁר צויתיך לאמר לא תאכל ממנו ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך׃ וקוץ ודרדר תצמיח לך ואכלת את עשׂב השׂדה׃ בזעת אפיך תאכל לחם עד שׁובך אל האדמה כי ממנה לקחת כי עפר אתה ואל עפר תשׁוב׃ ויקרא האדם שׁם אשׁתו חוה כי הוא היתה אם כל חי׃ ויעשׂ יהוה אלהים לאדם ולאשׁתו כתנות עור וילבשׁם׃ ויאמר יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה פן ישׁלח ידו ולקח גם מעץ החיים ואכל וחי לעלם׃ וישׁלחהו יהוה אלהים מגן עדן לעבד את האדמה אשׁר לקח משׁם׃ ויגרשׁ את האדם וישׁכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשׁמר את דרך עץ החיים׃
Genesis,4,והאדם ידע את חוה אשׁתו ותהר ותלד את קין ותאמר קניתי אישׁ את יהוה׃ ותסף ללדת את אחיו את הבל ויהי הבל רעה צאן וקין היה עבד אדמה׃ ויהי מקץ ימים ויבא קין מפרי האדמה מנחה ליהוה׃ והבל הביא גם הוא מבכרות צאנו ומחלבהן וישׁע יהוה אל הבל ואל מנחתו׃ ואל קין ואל מנחתו לא שׁעה ויחר לקין מאד ויפלו פניו׃ ויאמר יהוה אל קין למה חרה לך ולמה נפלו פניך׃ הלוא אם תיטיב שׂאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשׁוקתו ואתה תמשׁל בו׃ ויאמר קין אל הבל אחיו ויהי בהיותם בשׂדה ויקם קין אל הבל אחיו ויהרגהו׃ ויאמר יהוה אל קין אי הבל אחיך ויאמר לא ידעתי השׁמר אחי אנכי׃ ויאמר מה עשׂית קול דמי אחיך צעקים אלי מן האדמה׃ ועתה ארור אתה מן האדמה אשׁר פצתה את פיה לקחת את דמי אחיך מידך׃ כי תעבד את האדמה לא תסף תת כחה לך נע ונד תהיה בארץ׃ ויאמר קין אל יהוה גדול עוני מנשׂא׃*(בספרי ספרד ואשכנז מנשׂוא) הן גרשׁת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל מצאי יהרגני׃ ויאמר לו יהוה לכן כל הרג קין שׁבעתים יקם וישׂם יהוה לקין אות לבלתי הכות אתו כל מצאו׃ ויצא קין מלפני יהוה וישׁב בארץ נוד קדמת עדן׃ וידע קין את אשׁתו ותהר ותלד את חנוך ויהי בנה עיר ויקרא שׁם העיר כשׁם בנו חנוך׃ ויולד לחנוך את עירד ועירד ילד את מחויאל ומחייאל ילד את מתושׁאל ומתושׁאל ילד את למך׃ ויקח לו למך שׁתי נשׁים שׁם האחת עדה ושׁם השׁנית צלה׃ ותלד עדה את יבל הוא היה אבי ישׁב אהל ומקנה׃ ושׁם אחיו יובל הוא היה אבי כל תפשׂ כנור ועוגב׃ וצלה גם הוא ילדה את תובל קין לטשׁ כל חרשׁ נחשׁת וברזל ואחות תובל קין נעמה׃ ויאמר למך לנשׁיו עדה וצלה שׁמען קולי נשׁי למך האזנה אמרתי כי אישׁ הרגתי לפצעי וילד לחברתי׃ כי שׁבעתים יקם קין ולמך שׁבעים ושׁבעה׃ וידע אדם עוד את אשׁתו ותלד בן ותקרא את שׁמו שׁת כי שׁת לי אלהים זרע אחר תחת הבל כי הרגו קין׃ ולשׁת גם הוא ילד בן ויקרא את שׁמו אנושׁ אז הוחל לקרא בשׁם יהוה׃
Genesis,5,זה ספר*(בספרי תימןספר בסמ״ך גדולה)תולדת אדם ביום ברא אלהים אדם בדמות אלהים עשׂה אתו׃ זכר ונקבה בראם ויברך אתם ויקרא את שׁמם אדם ביום הבראם׃ ויחי אדם שׁלשׁים ומאת שׁנה ויולד בדמותו כצלמו ויקרא את שׁמו שׁת׃ ויהיו ימי אדם אחרי הולידו את שׁת שׁמנה מאת שׁנה ויולד בנים ובנות׃ ויהיו כל ימי אדם אשׁר חי תשׁע מאות שׁנה ושׁלשׁים שׁנה וימת׃ ויחי שׁת חמשׁ שׁנים ומאת שׁנה ויולד את אנושׁ׃ ויחי שׁת אחרי הולידו את אנושׁ שׁבע שׁנים ושׁמנה מאות שׁנה ויולד בנים ובנות׃ ויהיו כל ימי שׁת שׁתים עשׂרה שׁנה ותשׁע מאות שׁנה וימת׃ ויחי אנושׁ תשׁעים שׁנה ויולד את קינן׃ ויחי אנושׁ אחרי הולידו את קינן חמשׁ עשׂרה שׁנה ושׁמנה מאות שׁנה ויולד בנים ובנות׃ ויהיו כל ימי אנושׁ חמשׁ שׁנים ותשׁע מאות שׁנה וימת׃ ויחי קינן שׁבעים שׁנה ויולד את מהללאל׃ ויחי קינן אחרי הולידו את מהללאל ארבעים שׁנה ושׁמנה מאות שׁנה ויולד בנים ובנות׃ ויהיו כל ימי קינן עשׂר שׁנים ותשׁע מאות שׁנה וימת׃ ויחי מהללאל חמשׁ שׁנים ושׁשׁים שׁנה ויולד את ירד׃ ויחי מהללאל אחרי הולידו את ירד שׁלשׁים שׁנה ושׁמנה מאות שׁנה ויולד בנים ובנות׃ ויהיו כל ימי מהללאל חמשׁ ותשׁעים שׁנה ושׁמנה מאות שׁנה וימת׃ ויחי ירד שׁתים ושׁשׁים שׁנה ומאת שׁנה ויולד את חנוך׃ ויחי ירד אחרי הולידו את חנוך שׁמנה מאות שׁנה ויולד בנים ובנות׃ ויהיו כל ימי ירד שׁתים ושׁשׁים שׁנה ותשׁע מאות שׁנה וימת׃ ויחי חנוך חמשׁ ושׁשׁים שׁנה ויולד את מתושׁלח׃ ויתהלך חנוך את האלהים אחרי הולידו את מתושׁלח שׁלשׁ מאות שׁנה ויולד בנים ובנות׃ ויהי כל ימי חנוך חמשׁ ושׁשׁים שׁנה ושׁלשׁ מאות שׁנה׃ ויתהלך חנוך את האלהים ואיננו כי לקח אתו אלהים׃ ויחי מתושׁלח שׁבע ושׁמנים שׁנה ומאת שׁנה ויולד את למך׃ ויחי מתושׁלח אחרי הולידו את למך שׁתים ושׁמונים שׁנה ושׁבע מאות שׁנה ויולד בנים ובנות׃ ויהיו כל ימי מתושׁלח תשׁע ושׁשׁים שׁנה ותשׁע מאות שׁנה וימת׃ ויחי למך שׁתים ושׁמנים שׁנה ומאת שׁנה ויולד בן׃ ויקרא את שׁמו נח לאמר זה ינחמנו ממעשׂנו ומעצבון ידינו מן האדמה אשׁר אררה יהוה׃ ויחי למך אחרי הולידו את נח חמשׁ ותשׁעים שׁנה וחמשׁ מאת שׁנה ויולד בנים ובנות׃ ויהי כל ימי למך שׁבע ושׁבעים שׁנה ושׁבע מאות שׁנה וימת׃ ויהי נח בן חמשׁ מאות שׁנה ויולד נח את שׁם את חם ואת יפת׃
Genesis,6,ויהי כי החל האדם לרב על פני האדמה ובנות ילדו להם׃ ויראו בני האלהים את בנות האדם כי טבת הנה ויקחו להם נשׁים מכל אשׁר בחרו׃ ויאמר יהוה לא ידון רוחי באדם לעלם בשׁגם הוא בשׂר והיו ימיו מאה ועשׂרים שׁנה׃ הנפלים היו בארץ בימים ההם וגם אחרי כן אשׁר יבאו בני האלהים אל בנות האדם וילדו להם המה הגברים אשׁר מעולם אנשׁי השׁם׃ וירא יהוה כי רבה רעת האדם בארץ וכל יצר מחשׁבת לבו רק רע כל היום׃ וינחם יהוה כי עשׂה את האדם בארץ ויתעצב אל לבו׃ ויאמר יהוה אמחה את האדם אשׁר בראתי מעל פני האדמה מאדם עד בהמה עד רמשׂ ועד עוף השׁמים כי נחמתי כי עשׂיתם׃ ונח מצא חן בעיני יהוה׃ אלה תולדת נח נח אישׁ צדיק תמים היה בדרתיו את האלהים התהלך נח׃ ויולד נח שׁלשׁה בנים את שׁם את חם ואת יפת׃ ותשׁחת הארץ לפני האלהים ותמלא הארץ חמס׃ וירא אלהים את הארץ והנה נשׁחתה כי השׁחית כל בשׂר את דרכו על הארץ׃ ויאמר אלהים לנח קץ כל בשׂר בא לפני כי מלאה הארץ חמס מפניהם והנני משׁחיתם את הארץ׃ עשׂה לך תבת עצי גפר קנים תעשׂה את התבה וכפרת אתה מבית ומחוץ בכפר׃ וזה אשׁר תעשׂה אתה שׁלשׁ מאות אמה ארך התבה חמשׁים אמה רחבה ושׁלשׁים אמה קומתה׃ צהר תעשׂה לתבה ואל אמה תכלנה מלמעלה ופתח התבה בצדה תשׂים תחתים שׁנים ושׁלשׁים תעשׂה׃ ואני הנני מביא את המבול מים על הארץ לשׁחת כל בשׂר אשׁר בו רוח חיים מתחת השׁמים כל אשׁר בארץ יגוע׃ והקמתי את בריתי אתך ובאת אל התבה אתה ובניך ואשׁתך ונשׁי בניך אתך׃ ומכל החי מכל בשׂר שׁנים מכל תביא אל התבה להחית אתך זכר ונקבה יהיו׃ מהעוף למינהו ומן הבהמה למינה מכל רמשׂ האדמה למינהו שׁנים מכל יבאו אליך להחיות׃ ואתה קח לך מכל מאכל אשׁר יאכל ואספת אליך והיה לך ולהם לאכלה׃ ויעשׂ נח ככל אשׁר צוה אתו אלהים כן עשׂה׃
Genesis,7,ויאמר יהוה לנח בא אתה וכל ביתך אל התבה כי אתך ראיתי צדיק לפני בדור הזה׃ מכל הבהמה הטהורה תקח לך שׁבעה שׁבעה אישׁ ואשׁתו ומן הבהמה אשׁר לא טהרה הוא שׁנים אישׁ ואשׁתו׃ גם מעוף השׁמים שׁבעה שׁבעה זכר ונקבה לחיות זרע על פני כל הארץ׃ כי לימים עוד שׁבעה אנכי ממטיר על הארץ ארבעים יום וארבעים לילה ומחיתי את כל היקום אשׁר עשׂיתי מעל פני האדמה׃ ויעשׂ נח ככל אשׁר צוהו יהוה׃ ונח בן שׁשׁ מאות שׁנה והמבול היה מים על הארץ׃ ויבא נח ובניו ואשׁתו ונשׁי בניו אתו אל התבה מפני מי המבול׃ מן הבהמה הטהורה ומן הבהמה אשׁר איננה טהרה ומן העוף וכל אשׁר רמשׂ על האדמה׃ שׁנים שׁנים באו אל נח אל התבה זכר ונקבה כאשׁר צוה אלהים את נח׃ ויהי לשׁבעת הימים ומי המבול היו על הארץ׃ בשׁנת שׁשׁ מאות שׁנה לחיי נח בחדשׁ השׁני בשׁבעה עשׂר יום לחדשׁ ביום הזה נבקעו כל מעינת*(בספרי ספרד ואשכנז מעינות)תהום רבה וארבת השׁמים נפתחו׃ ויהי הגשׁם על הארץ ארבעים יום וארבעים לילה׃ בעצם היום הזה בא נח ושׁם וחם ויפת בני נח ואשׁת נח ושׁלשׁת נשׁי בניו אתם אל התבה׃ המה וכל החיה למינה וכל הבהמה למינה וכל הרמשׂ הרמשׂ על הארץ למינהו וכל העוף למינהו כל צפור כל כנף׃ ויבאו אל נח אל התבה שׁנים שׁנים מכל הבשׂר אשׁר בו רוח חיים׃ והבאים זכר ונקבה מכל בשׂר באו כאשׁר צוה אתו אלהים ויסגר יהוה בעדו׃ ויהי המבול ארבעים יום על הארץ וירבו המים וישׂאו את התבה ותרם מעל הארץ׃ ויגברו המים וירבו מאד על הארץ ותלך התבה על פני המים׃ והמים גברו מאד מאד על הארץ ויכסו כל ההרים הגבהים אשׁר תחת כל השׁמים׃ חמשׁ עשׂרה אמה מלמעלה גברו המים ויכסו ההרים׃ ויגוע כל בשׂר הרמשׂ על הארץ בעוף ובבהמה ובחיה ובכל השׁרץ השׁרץ על הארץ וכל האדם׃ כל אשׁר נשׁמת רוח חיים באפיו מכל אשׁר בחרבה מתו׃ וימח את כל היקום אשׁר על פני האדמה מאדם עד בהמה עד רמשׂ ועד עוף השׁמים וימחו מן הארץ וישׁאר אך נח ואשׁר אתו בתבה׃ ויגברו המים על הארץ חמשׁים ומאת יום׃
Genesis,8,ויזכר אלהים את נח ואת כל החיה ואת כל הבהמה אשׁר אתו בתבה ויעבר אלהים רוח על הארץ וישׁכו המים׃ ויסכרו מעינת תהום וארבת השׁמים ויכלא הגשׁם מן השׁמים׃ וישׁבו המים מעל הארץ הלוך ושׁוב ויחסרו המים מקצה חמשׁים ומאת יום׃ ותנח התבה בחדשׁ השׁביעי בשׁבעה עשׂר יום לחדשׁ על הרי אררט׃ והמים היו הלוך וחסור עד החדשׁ העשׂירי בעשׂירי באחד לחדשׁ נראו ראשׁי ההרים׃ ויהי מקץ ארבעים יום ויפתח נח את חלון התבה אשׁר עשׂה׃ וישׁלח את הערב ויצא יצוא ושׁוב עד יבשׁת המים מעל הארץ׃ וישׁלח את היונה מאתו לראות הקלו המים מעל פני האדמה׃ ולא מצאה היונה מנוח לכף רגלה ותשׁב אליו אל התבה כי מים על פני כל הארץ וישׁלח ידו ויקחה ויבא אתה אליו אל התבה׃ ויחל עוד שׁבעת ימים אחרים ויסף שׁלח את היונה מן התבה׃ ותבא אליו היונה לעת ערב והנה עלה זית טרף בפיה וידע נח כי קלו המים מעל הארץ׃ וייחל עוד שׁבעת ימים אחרים וישׁלח את היונה ולא יספה שׁוב אליו עוד׃ ויהי באחת ושׁשׁ מאות שׁנה בראשׁון באחד לחדשׁ חרבו המים מעל הארץ ויסר נח את מכסה התבה וירא והנה חרבו פני האדמה׃ ובחדשׁ השׁני בשׁבעה ועשׂרים יום לחדשׁ יבשׁה הארץ׃ וידבר אלהים אל נח לאמר׃ צא מן התבה אתה ואשׁתך ובניך ונשׁי בניך אתך׃ כל החיה אשׁר אתך מכל בשׂר בעוף ובבהמה ובכל הרמשׂ הרמשׂ על הארץ(הוצא)[היצא]אתך ושׁרצו בארץ ופרו ורבו על הארץ׃ ויצא נח ובניו ואשׁתו ונשׁי בניו אתו׃ כל החיה כל הרמשׂ וכל העוף כל רומשׂ על הארץ למשׁפחתיהם יצאו מן התבה׃ ויבן נח מזבח ליהוה ויקח מכל הבהמה הטהרה ומכל העוף הטהור ויעל עלת במזבח׃ וירח יהוה את ריח הניחח ויאמר יהוה אל לבו לא אסף לקלל עוד את האדמה בעבור האדם כי יצר לב האדם רע מנעריו ולא אסף עוד להכות את כל חי כאשׁר עשׂיתי׃ עד כל ימי הארץ זרע וקציר וקר וחם וקיץ וחרף ויום ולילה לא ישׁבתו׃
Genesis,9,ויברך אלהים את נח ואת בניו ויאמר להם פרו ורבו ומלאו את הארץ׃ ומוראכם וחתכם יהיה על כל חית הארץ ועל כל עוף השׁמים בכל אשׁר תרמשׂ האדמה ובכל דגי הים בידכם נתנו׃ כל רמשׂ אשׁר הוא חי לכם יהיה לאכלה כירק עשׂב נתתי לכם את כל׃ אך בשׂר בנפשׁו דמו לא תאכלו׃ ואך את דמכם לנפשׁתיכם אדרשׁ מיד כל חיה אדרשׁנו ומיד האדם מיד אישׁ אחיו אדרשׁ את נפשׁ האדם׃ שׁפך דם האדם באדם דמו ישׁפך כי בצלם אלהים עשׂה את האדם׃ ואתם פרו ורבו שׁרצו בארץ ורבו בה׃ ויאמר אלהים אל נח ואל בניו אתו לאמר׃ ואני הנני מקים את בריתי אתכם ואת זרעכם אחריכם׃ ואת כל נפשׁ החיה אשׁר אתכם בעוף בבהמה ובכל חית הארץ אתכם מכל יצאי התבה לכל חית הארץ׃ והקמתי את בריתי אתכם ולא יכרת כל בשׂר עוד ממי המבול ולא יהיה עוד מבול לשׁחת הארץ׃ ויאמר אלהים זאת אות הברית אשׁר אני נתן ביני וביניכם ובין כל נפשׁ חיה אשׁר אתכם לדרת עולם׃ את קשׁתי נתתי בענן והיתה לאות ברית ביני ובין הארץ׃ והיה בענני ענן על הארץ ונראתה הקשׁת בענן׃ וזכרתי את בריתי אשׁר ביני וביניכם ובין כל נפשׁ חיה בכל בשׂר ולא יהיה עוד המים למבול לשׁחת כל בשׂר׃ והיתה הקשׁת בענן וראיתיה לזכר ברית עולם בין אלהים ובין כל נפשׁ חיה בכל בשׂר אשׁר על הארץ׃ ויאמר אלהים אל נח זאת אות הברית אשׁר הקמתי ביני ובין כל בשׂר אשׁר על הארץ׃ ויהיו בני נח היצאים מן התבה שׁם וחם ויפת וחם הוא אבי כנען׃ שׁלשׁה אלה בני נח ומאלה נפצה כל הארץ׃ ויחל נח אישׁ האדמה ויטע כרם׃ וישׁת מן היין וישׁכר ויתגל בתוך אהלה׃ וירא חם אבי כנען את ערות אביו ויגד לשׁני אחיו בחוץ׃ ויקח שׁם ויפת את השׂמלה וישׂימו על שׁכם שׁניהם וילכו אחרנית ויכסו את ערות אביהם ופניהם אחרנית וערות אביהם לא ראו׃ וייקץ נח מיינו וידע את אשׁר עשׂה לו בנו הקטן׃ ויאמר ארור כנען עבד עבדים יהיה לאחיו׃ ויאמר ברוך יהוה אלהי שׁם ויהי כנען עבד למו׃ יפת אלהים ליפת וישׁכן באהלי שׁם ויהי כנען עבד למו׃ ויחי נח אחר המבול שׁלשׁ מאות שׁנה וחמשׁים שׁנה׃ ויהיו*(בספרי ספרד ואשכנז ויהי)כל ימי נח תשׁע מאות שׁנה וחמשׁים שׁנה וימת׃
Genesis,10,ואלה תולדת בני נח שׁם חם ויפת ויולדו להם בנים אחר המבול׃ בני יפת גמר ומגוג ומדי ויון ותבל ומשׁך ותירס׃ ובני גמר אשׁכנז וריפת ותגרמה׃ ובני יון אלישׁה ותרשׁישׁ כתים ודדנים׃ מאלה נפרדו איי הגוים בארצתם אישׁ ללשׁנו למשׁפחתם בגויהם׃ ובני חם כושׁ ומצרים ופוט וכנען׃ ובני כושׁ סבא וחוילה וסבתה ורעמה וסבתכא ובני רעמה שׁבא ודדן׃ וכושׁ ילד את נמרד הוא החל להיות גבר בארץ׃ הוא היה גבר ציד לפני יהוה על כן יאמר כנמרד גבור ציד לפני יהוה׃ ותהי ראשׁית ממלכתו בבל וארך ואכד וכלנה בארץ שׁנער׃ מן הארץ ההוא יצא אשׁור ויבן את נינוה ואת רחבת עיר ואת כלח׃ ואת רסן בין נינוה ובין כלח הוא העיר הגדלה׃ ומצרים ילד את לודים ואת ענמים ואת להבים ואת נפתחים׃ ואת פתרסים ואת כסלחים אשׁר יצאו משׁם פלשׁתים ואת כפתרים׃ וכנען ילד את צידן בכרו ואת חת׃ ואת היבוסי ואת האמרי ואת הגרגשׁי׃ ואת החוי ואת הערקי ואת הסיני׃ ואת הארודי ואת הצמרי ואת החמתי ואחר נפצו משׁפחות הכנעני׃ ויהי גבול הכנעני מצידן באכה גררה עד עזה באכה סדמה ועמרה ואדמה וצבים עד לשׁע׃ אלה בני חם למשׁפחתם ללשׁנתם בארצתם בגויהם׃ ולשׁם ילד גם הוא אבי כל בני עבר אחי יפת הגדול׃ בני שׁם עילם ואשׁור וארפכשׁד ולוד וארם׃ ובני ארם עוץ וחול וגתר ומשׁ׃ וארפכשׁד ילד את שׁלח ושׁלח ילד את עבר׃ ולעבר ילד שׁני בנים שׁם האחד פלג כי בימיו נפלגה הארץ ושׁם אחיו יקטן׃ ויקטן ילד את אלמודד ואת שׁלף ואת חצרמות ואת ירח׃ ואת הדורם ואת אוזל ואת דקלה׃ ואת עובל ואת אבימאל ואת שׁבא׃ ואת אופר ואת חוילה ואת יובב כל אלה בני יקטן׃ ויהי מושׁבם ממשׁא באכה ספרה הר הקדם׃ אלה בני שׁם למשׁפחתם ללשׁנתם בארצתם לגויהם׃ אלה משׁפחת בני נח לתולדתם בגויהם ומאלה נפרדו הגוים בארץ אחר המבול׃
